animal,"('what animal do you see a cow say moo', 'Mother')","[2, ('what animal do you see a cow say moo', 'Mother'), 'cow']",,
animal,"('let do the farm because they have different animal in here then we have in our set at home', 'Mother')","[3, ('a cow can go with it', 'Target_Child'), 'cow']",,
animal,"('can we put the farm animal in here', 'Mother')","[3, ('a pig yes', 'Mother'), 'pig']",,
animal,"('what animal be that', 'Mother')","[3, ('and another cow down', 'Target_Child'), 'cow']",,
animal,"('let make them fun look animal', 'Mother')","[3, ('be the cat way', 'Target_Child'), 'cat']",,
animal,"('and some animal can go here', 'Target_Child')","[3, ('be they nice dog', 'Mother'), 'dog']",,
animal,"('all the animal go in there', 'Mother')","[3, ('be you gonna be a cat or a clown', 'Mother'), 'cat']",,
animal,"('Gespard and Lisa you look like the extinct animal', 'Mother')","[3, ('bunny jump', 'Mother'), 'bunny']",,
animal,"('they have some mean animal here', 'Mother')","[3, ('cow moo moo moo', 'Target_Child'), 'cow']",,
animal,"('what kind of animal be that', 'Mother')","[3, ('daddy catch a fish', 'Target_Child'), 'cat']",,
animal,"('a animal', 'Father')","[3, ('do I catch it', 'Father'), 'cat']",,
animal,"('what kind of animal', 'Investigator')","[3, ('dog eat and watch tv all at the same time', 'Mother'), 'dog']",,
animal,"('should we look at your animal book honey', 'Mother')","[3, ('dog', 'Mother'), 'dog']",,
animal,"('oh it be a wild animal', 'Father')","[3, ('dog', 'Target_Child'), 'dog']",,
animal,"('and that all the farm animal', 'Mother')","[3, ('dog', 'Target_Child'), 'dog']",,
animal,"('you want to bring your animal to the farm', 'Mother')","[3, ('dog', 'Target_Child'), 'dog']",,
animal,"('what animal do he have on his boat', 'Mother')","[3, ('he gonna catch a bug', 'Mother'), 'cat']",,
animal,"('do the animal that be patient there get feed every day', 'Mother')","[3, ('hearth and cattle okay let go to hearth and cattle', 'Mother'), 'cat']",,
animal,"('a_lot_of different animal at the farm', 'Mother')","[3, ('hey should we have the cow go into the barn', 'Mother'), 'cow']",,
animal,"('be you bring the animal up there', 'Investigator')","[3, ('hot dog', 'Mother'), 'dog']",,
animal,"('and then the animal become nice to her', 'Mother')","[3, ('I glad she catch you', 'Mother'), 'cat']",,
animal,"('do you know what this animal be', 'Mother')","[3, ('I wanna take the play dough to piglet', 'Target_Child'), 'pig']",,
animal,"('animal', 'Target_Child')","[3, ('moo cow', 'Target_Child'), 'cow']",,
animal,"('person use to take animal from one place to another', 'Mother')","[3, ('music on vacation', 'Target_Child'), 'cat']",,
animal,"('letter on the back of the animal card', 'Mother')","[3, ('nine cow', 'Target_Child'), 'cow']",,
animal,"('well that for the animal', 'Mother')","[3, ('oh there the baby cow now', 'Mother'), 'cow']",,
animal,"('which animal have three', 'Mother')","[3, ('pig pig what can I do with mud and a grunt and a oink', 'Mother'), 'pig']",,
animal,"('should we make a fence so_that the animal do run away', 'Mother')","[3, ('pig right', 'Mother'), 'pig']",,
animal,"('what animal', 'Mother')","[3, ('pig', 'Target_Child'), 'pig']",,
animal,"('what animal', 'Mother')","[3, ('pig', 'Target_Child'), 'pig']","[6, ('I need cow', 'Target_Child'), 'cow']",
animal,"('and put some animal inside', 'Mother')","[3, ('sure the cow could eat it', 'Mother'), 'cow']",,
animal,"('you swing it open when you wanna put a animal in there', 'Mother')","[3, ('that a cow', 'Mother'), 'cow']",,
animal,"('can animal go in the school bus', 'Father')","[3, ('that kitty cat', 'Target_Child'), 'cat']",,
animal,"('or a animal hospital', 'Mother')","[3, ('the cat sick too', 'Target_Child'), 'cat']",,
animal,"('oh where the other farm animal', 'Mother')","[3, ('what be you do to the cat', 'Mother'), 'cat']",,
animal,"('and how about all these animal', 'Investigator')","[3, ('where the bunny be he hide', 'Mother'), 'bunny']",,
animal,"('what kind of animal be it', 'Mother')","[3, ('where the dog', 'Mother'), 'dog']",,
animal,"('which animal will like to come and drink down at the pond', 'Mother')","[3, ('where the pig in the barrel', 'Mother'), 'pig']",,
animal,"('which animal have four of the same', 'Mother')","[3, ('with a oink say the pig then it doze away', 'Mother'), 'pig']",,
animal,"('should we put some animal in', 'Mother')","[3, ('yup you find a cow', 'Mother'), 'cow']",,
animal,"('I want some more animal', 'Target_Child')","[4, ('a cow', 'Mother'), 'cow']",,
animal,"('many animal in the zoo', 'Mother')","[4, ('a pig', 'Target_Child'), 'pig']",,
animal,"('what other animal do we have here', 'Mother')","[4, ('and mom and baby cow', 'Mother'), 'cow']",,
animal,"('all the animal wake up', 'Mother')","[4, ('baby cow', 'Target_Child'), 'cow']",,
animal,"('what animal should we pick', 'Mother')","[4, ('be that the baby cow', 'Mother'), 'cow']",,
animal,"('what animal should we pick', 'Mother')","[4, ('be that the baby cow', 'Mother'), 'cow']","[6, ('where the pig', 'Mother'), 'pig']",
animal,"('well that a special kind of block they have for animal that perform', 'Mother')","[4, ('be you fix the dog', 'Investigator'), 'dog']",,
animal,"('I think the animal go in there', 'Mother')","[4, ('blow on it cow', 'Mother'), 'cow']",,
animal,"('alright well be you do with your animal', 'Mother')","[4, ('bunny', 'Grandmother'), 'bunny']",,
animal,"('will you like to put the animal in the barn', 'Mother')","[4, ('can you find a cow for mommy', 'Mother'), 'cow']",,
animal,"('will you like to put the animal in the barn', 'Mother')","[4, ('can you find a cow for mommy', 'Mother'), 'cow']","[5, ('I think actual it another cow', 'Mother'), 'cow']",
animal,"('byebye animal', 'Father')","[4, ('cat food', 'Target_Child'), 'cat']",,
animal,"('baby animal', 'Investigator')","[4, ('cow', 'Mother'), 'cow']",,
animal,"('here let us go to the animal', 'Father')","[4, ('cow', 'Mother'), 'cow']",,
animal,"('where should we put the animal', 'Mother')","[4, ('cow', 'Mother'), 'cow']",,
animal,"('well there be one monkey and two bear but there be three animal', 'Mother')","[4, ('cow', 'Target_Child'), 'cow']",,
animal,"('animal friend', 'Target_Child')","[4, ('do you catch that', 'Mother'), 'cat']",,
animal,"('of animal', 'Mother')","[4, ('dog food', 'Target_Child'), 'dog']",,
animal,"('maybe the animal will like some too', 'Mother')","[4, ('dog', 'Target_Child'), 'dog']",,
animal,"('do animal like pomegranate', 'Target_Child')","[4, ('Edna have to go get her kitty cat', 'Father'), 'cat']",,
animal,"('show him some of your animal', 'Mother')","[4, ('hey should we have the cow go into the barn', 'Mother'), 'cow']",,
animal,"('be he go take a animal with him', 'Mother')","[4, ('hi Mr cow', 'Mother'), 'cow']",,
animal,"('oh I know you want find the one with the animal', 'Mother')","[4, ('hm pig', 'Mother'), 'pig']",,
animal,"('and there animal', 'Target_Child')","[4, ('I a cat I not Emily', 'Target_Child'), 'cat']",,
animal,"('and there animal', 'Target_Child')","[4, ('I a cat I not Emily', 'Target_Child'), 'cat']","[6, ('oh it do in that cat spit on there', 'Target_Child'), 'cat']",
animal,"('do you want put all the animal in the barn', 'Mother')","[4, ('in the dog', 'Investigator'), 'dog']",,
animal,"('wanna go see the animal', 'Mother')","[4, ('it a special kind of dog', 'Investigator'), 'dog']",,
animal,"('I do think there more animal', 'Mother')","[4, ('it be a cow', 'Mother'), 'cow']",,
